Nome,Quantidade,Componente
"U_INT_Arduino, U_EXT_Arduino",2," Arduino Uno R3"
"U_INT_LCD",1,"Baseado em PCF8574, 32 (0x20) LCD 16 x 2 (I2C)"
"U_INT_TemperatureSensor, U_EXT_TemperatureSensor",2," Sensor de temperatura [TMP36]"
"D_INT_GreenLed",1,"Verde LED"
"D_INT_BlueLed",1,"Azul LED"
"D_INT_RedLED",1,"Vermelho LED"
"R1, R2, R3, R7, R4, R6",6,"1 kΩ Resistor"
"PIR_INT_MovementSensor",1," Sensor PIR"
"L_INT_Lights",1," Lâmpada"
"R_INT_LightSensor",1," Fotorresistor"
"GAS_INT_GasSensor",1," Sensor de gás"
"PIEZO_INT_Alarm",1," Piezo"
"K_INT_Rele",1," Relé SPDT"
"U_EXT_InfraredSensor",1," Sensor de infravermelho"
"SERVO_EXT_Gate, SERVO_INT_Frontdoor",2,"Posicional Micro servo"
"DIST_EXT_GateDistanceSensor",1," Sensor de distância ultrassônico (quatro pinos)"
"S_INT_DoorButton",1," Botão"
"KEYPAD_EXT_Keypad",1," Teclado 4x4"
